296s, 65;
518l, 67 87 31 58 19 18 27 49 35;
519s, 48 11 6 75 70 42 29 33;
519l, 45 65 87 20 65 31 29 33;
520s, 44 53 52 34 5 26 32 70 21 59 87 87 72 35;
520l, 24 23 34 18 31 90 44 34 32 20 87 23 68 33;
521s, 21 41 57 90 51 70 48 44 65 76 70 54 90 29 90 34 29;
521l, 76 41 24 68 52 44 21 32 23 12 71 25 72 29 26 51 29;
522s, 33 33 41 34 88 49 34 23 87;
522l, 62 62 69 70 76 20 43 76 87;
523s, 76 5 23 87 34 68 70 29 26 32 35 20 32;
523l, 5 49 50 45 43 9 85 8 90 53 32 19 50;
524s, 34 34 76 11 70 87 65 51 76 6 84;
524l, 51 51 49 34 36 31 31 34 70 19 23;
525s, 87 90 32 45 36 23 32 75 35 90 58 70;
525l, 48 72 75 45 49 16 5 20 33 68 27 65;
526s, 70 49 31 23 70 7 35 70 2 35 65 62 54;
526l, 20 53 50 12 19 49 33 84 65 76 3 5 1;
527s, 20 55 19 65 57 21 16 75 57 55 53 45 57 19 58 32 78;
527l, 65 31 65 7 32 31 11 34 11 35 23 31 11 70 34 20 78;
528s, 55 70 34 62 56 38;
528l, 53 43 85 62 56 71;
529s, 7 65 31 5 35 70 62 2 34 56 50 20;
529l, 36 52 19 18 33 19 62 51 34 32 74 52;
530s, 34 18 89 78 23 48 67 35 20 35 7;
530l, 67 6 89 58 23 87 67 76 88 32 7;
531s, 34 11 65 23 51 67 45 7 70;
531l, 43 61 37 19 66 55 49 7 53;
532s, 67 49 31 31 34 16 90 24 65 90 35 27;
532l, 62 76 31 20 7 23 72 71 16 68 33 24;
533s, 85 34 70 31 90 21 34 7 34 48 53 33 5;
533l, 71 43 2 19 73 32 52 7 89 33 27 33 32;
534s, 90 20 87 22 33 70 7 70 34 5 35 67;
534l, 26 20 66 87 33 2 7 85 37 44 31 34;
535s, 48 58 34 51 51 53 32 61 49 32 39 53 35;
535l, 34 21 37 7 48 31 35 18 49 57 39 53 31;
536s, 35 12 49 27 17 48 27 20 59 45 70 57;
536l, 76 32 23 24 2 20 55 20 2 62 45 32;
537s, 32 24 31 90 79 61 65 35 48 35;
537l, 20 57 41 13 37 61 20 76 74 55;
538s, 32 5 48 20;
538l, 70 12 74 65;
539s, 3 36 65 55 76 27 32 35;
539l, 41 31 34 71 23 51 76 27;
540s, 44 20 24 37 6 33 76 32 88 23 85;
540l, 17 44 24 51 27 35 27 49 53 84 6;
541s, 20 44 77 49 36 24 48 23 34 53 7;
541l, 56 27 77 50 51 44 31 32 37 34 7;
542s, 43 65 17 53 49 31 77 49 33 70 74 20 21 50 76;
542l, 87 37 23 23 91 11 51 76 49 19 3 44 31 50 12;
543s, 21 4 88 5 33 34 53 85 21 17 90 49 20 55 59 45;
543l, 85 27 32 5 76 49 44 75 48 27 68 49 56 12 43 57;
544s, 31 33 34 49 7 49;
544l, 44 33 23 55 7 87;
545s, 76 74 23 21 7 58 87 32 31 30 71 7 70 33 55;
545l, 2 58 23 65 5 20 21 66 33 23 31 7 32 35 48;
546s, 21 74 45 70 17 31 15 19 70 29;
546l, 21 58 21 6 17 75 15 65 34 54;
547s, 6 18 34 65 44 34 90 32 71 7;
547l, 62 62 53 53 87 43 33 49 87 7;
548s, 12 34 23 65 87 5 21 31 61 91 27 35 49 72;
548l, 20 35 37 21 87 27 27 23 31 91 71 23 31 90;
549s, 33 88 44 23 34 31 87 69 85 18 35 12 35;
549l, 23 70 85 49 2 27 31 41 20 48 31 12 33;
550s, 90 70 73 65 44 33 75 71 67 55 87 36 24 55;
550l, 73 31 26 33 48 35 59 43 67 76 6 70 32 76;
551s, 49 65 65 12 49 55 70 48 67 33 34 79 33 85;
551l, 12 12 37 6 76 12 65 62 67 33 53 88 35 20;
552s, 76 67 91 70 67;
552l, 12 27 91 70 67;
553s, 12 77 87 71 87 77 36 15 2 34 31;
553l, 34 77 58 24 71 51 84 60 48 27 31;
554s, 23 65 87 91 77 24 12 67 2 49 31 70 87;
554l, 51 70 48 49 51 17 12 67 37 52 31 75 50;
555s, 33 84 33 54 7 87 76 70 13 21 67 12 76;
555l, 31 34 32 25 58 6 71 34 10 21 67 7 76;
556s, 33 20 34 53 55 76 2 45 21 70 7 35 16 34 78 62;
556l, 27 65 48 49 21 17 31 17 31 32 51 49 46 65 78 61;
557s, 32 59 7 21 87 27 34;
557l, 23 70 31 34 45 16 52;
558s, 62 70 2 70 44 34 12 34 59 78 70 31 65;
558l, 58 52 2 70 44 78 20 37 50 78 76 11 11;
559s, 70 65 49 2 85 34 53 5 34 61 90 51 45 2;
559l, 65 18 3 53 85 51 27 7 79 31 90 37 27 65;
560s, 70 70 91 34 70 74 49 77 70 53 36 24 26;
560l, 7 7 12 52 20 58 75 31 43 34 36 31 41;
561s, 32 85 17 70 44 34 27 24 59 18;
561l, 43 18 32 70 56 79 21 79 66 27;
562s, 35 19 37 36 21 7 48 59 34;
562l, 23 19 37 2 20 7 48 34 87;
563s, 21 6 20 52 87 65 16 7;
563l, 27 11 17 87 70 31 32 7;
564s, 53 76 37 20 44 70 76 65 78 7 16 12 85 34 48 34 2 45 87 69;
564l, 49 76 65 58 76 65 49 20 22 19 32 33 45 7 61 43 53 32 85 69;
565s, 44 65 7 77 69 48 54 65 31 7 21 65;
565l, 6 49 32 34 24 65 54 27 66 7 61 21;
566s, 87 23 56 62 77 2 35 87 85 7 76 87 70;
566l, 89 67 56 62 31 77 58 65 62 7 32 6 75;
567s, 33 6 53 27 54 21 67 74 74;
567l, 32 11 65 35 71 85 67 31 31;
568s, 5 52 75 20 53 65 65 68;
568l, 65 34 79 34 34 31 31 26;
569s, 7 36 34 59 67 48 7 20 15 76 53 66;
569l, 89 88 75 18 67 23 7 65 25 76 31 79;
570s, 49 46 59 87 32 2 7 58 34 20 73 49 35 65 53 71 70 50 87 35;
570l, 31 46 19 6 49 70 58 37 5 21 8 31 12 31 34 71 23 23 6 27;
571s, 50 49 5 87 7 70 58 6 7 52 35 33 76 32 70 5 33 35;
571l, 17 35 23 87 31 6 34 87 7 67 55 35 65 24 23 18 76 32;
572s, 20 44 65 27 70 31 88 16 35 45;
572l, 31 31 37 24 23 42 58 51 35 23;
573s, 7 6 7 84 70 44;
573l, 58 66 7 53 32 17;
