296s, 65;
1455s, 67 57 37 85 38 18 71 76 85 34 31 62 53 70;
1455l, 65 91 51 34 76 31 71 17 31 35 49 55 78 32;
1456s, 70 35 62 32 58 57 62 53 58 56 6 32;
1456l, 34 21 35 17 66 24 85 44 2 32 58 87;
1457s, 52 90 5 34 58 57 52 84 61 37 6 35 85 65 34 18 87 50 11 35 32 85 74;
1457l, 11 90 70 44 51 91 65 75 20 65 76 57 31 65 65 18 6 45 11 35 6 23 23;
1458s, 24 70 59 58 19 32 27 34 66 23 11 76 39 35 34;
1458l, 57 19 5 7 20 21 31 34 21 33 56 35 39 76 65;
1459s, 71 17 12 34 31 35 53 74 37 49 87 10 23 24 84 21 49 45;
1459l, 24 74 49 53 49 55 53 31 70 16 48 57 12 4 49 20 48 32;
1460s, 76 11 31 76 87 7 19 76 52 7 70 38 70 31;
1460l, 31 79 58 55 48 71 19 12 61 49 19 38 35 62;
1461s, 33 87 62 31 19 8 2 38 73 53 65;
1461l, 24 87 3 43 23 8 34 38 90 53 21;
1462s, 20 32 19 32 2 85 76 6;
1462l, 78 24 34 23 24 6 33 31;
1463s, 48 55 27 89 35 49 21 3 6 5 31 35;
1463l, 49 49 76 89 35 4 58 71 23 65 44 76;
1464s, 2 43 55 11 87;
1464l, 34 43 76 48 48;
1465s, 58 43 85 32 59 31 34 77 85 19 76 24;
1465l, 49 77 48 70 19 31 75 34 85 19 24 3;
1466s, 70 32 19 65 43 31 6 76 3 53 16 5 87 89 76 11 3 53 16 71 62 51;
1466l, 49 71 19 21 37 49 24 35 70 5 48 21 52 11 76 48 70 19 48 32 44 48;
1467s, 49 87 23 31 67 2 70 35 33 48 18 16 85 53 87 55 58 37 34 76 85;
1467l, 55 6 23 88 55 2 62 76 33 65 67 48 61 75 84 76 32 59 7 65 61;
1468s, 19 70 23 56 27 79 41 23 73 33 26 7 33 85;
1468l, 75 70 16 56 35 79 49 32 90 35 26 76 55 70;
1469s, 49 62 44 87 49 73 65 33 48 74 20 65 6 17 34;
1469l, 19 21 16 87 31 72 32 35 58 57 27 32 88 32 53;
1470s, 19 55 6 76 57 76 6 58 34 90 16;
1470l, 18 32 23 65 54 76 65 51 34 90 71;
1471s, 13 34 76 82 20 44 70 56 65 30 87 34;
1471l, 13 58 35 82 58 55 70 87 31 74 87 70;
1472s, 53 24 82 52 19 23 70 56 19 49 51 61 16 21;
1472l, 75 30 8 7 65 77 58 7 23 27 34 20 70 6;
1473s, 23 23 43 79 2 55 76 71 27 90 37 66 79;
1473l, 20 6 34 11 58 31 12 70 61 48 24 59 33;
1474s, 7 34 36 32 68 53 65 3 6 17 32;
1474l, 7 35 32 58 90 51 32 23 6 50 19;
1475s, 34 32 53 23 34 65 6 76 67 48 66 19 6;
1475l, 87 57 51 62 53 14 49 24 76 11 65 20 6;
1476s, 31 7 81 17 35 32 33 23 34;
1476l, 85 7 6 46 55 89 35 70 59;
1477s, 65 49 85 33 87 7 61 51 79 79 65 85 32 65 35 90 11 48;
1477l, 23 88 34 49 48 27 62 53 34 89 85 65 61 62 33 68 85 49;
1478s, 23 85 24 70 30 79 55 12 20 71 33 73 85 33;
1478l, 19 23 57 53 31 87 12 76 62 20 16 6 21 35;
1479s, 44 55 57 7 70 31 23 33 45 79 11 12 23 66;
1479l, 11 71 24 7 32 31 57 35 44 34 18 49 19 67;
1480s, 53 19 87 7 67 31 45 53 35 76 48 44 12 45;
1480l, 53 19 85 78 65 76 66 32 35 12 49 53 55 66;
1481s, 87 79 49 7 53 76 59 44 31 35 71 21 85 24 65 57 35 74;
1481l, 22 56 49 31 85 76 59 31 7 23 71 70 65 33 88 16 31 31;
1482s, 7 47 91 44 20 65 31 74 33 66 71 61 35 58;
1482l, 7 54 23 67 2 88 31 16 35 56 74 61 33 59;
1483s, 85 31 49 33 48 59 31 19 70 72 35 36 61 19 5 76 34;
1483l, 61 31 50 35 40 34 71 76 24 3 35 27 16 76 67 35 19;
1484s, 7 90 49 44 35 20 49 34 61 7 49;
1484l, 51 26 35 20 33 23 70 34 58 34 49;
1485s, 31 79 70 36 53 12 58 87 33 70 58 34 52 35 6 49 35 19 4;
1485l, 17 65 34 70 34 76 78 45 33 65 49 16 31 33 62 58 55 67 4;
1486s, 75 71 85 79 23 48 44 2 8 34 27 6 85 46 23;
1486l, 75 24 21 65 43 87 19 7 8 70 23 49 6 43 33;
1487s, 7 35 53 19 67 72 89 3 39 59 19;
1487l, 7 33 75 49 67 15 50 51 82 76 14;
1488s, 7 65 34 77 87 65 8 44 71 26 75 21 58 31 67 58 34;
1488l, 34 20 34 77 58 20 76 11 31 73 88 6 58 34 51 37 34;
1489s, 34 53 58 7 31 35 56 32 79 67 4 23 59 48 46 59;
1489l, 32 34 58 7 88 33 16 32 34 67 26 14 27 11 51 36;
1490s, 76 49 31 7 5 33 71 50 51 32 17 33 65 19;
1490l, 76 31 76 7 32 76 24 70 34 24 49 33 70 24;
1491s, 70 31 21 35 65 85 71 23 33 67 21 53 77 31 7 57;
1491l, 59 31 43 33 4 5 17 44 35 53 49 7 56 48 58 67;
1492s, 50 19 11 21 65 2 76 31 33 34 49 85 60 17 43 77 32 49 19 50;
1492l, 23 89 62 66 27 23 12 52 55 70 35 56 60 17 34 37 32 55 59 35;
1493s, 31 27 34 36 37 58 74 11 89 23 19 21 51 49 35 35 23 17 31 19 76;
1493l, 31 35 34 31 43 12 23 62 31 49 65 21 77 27 33 33 23 76 33 21 35;
1494s, 65 44 5 5 70 17 84 49 32 12 7;
1494l, 34 87 67 67 75 17 84 2 65 27 37;
1495s, 34 58 73 31 22 6 77 17 71 62 82 27 77;
1495l, 70 65 24 31 11 62 87 31 71 45 63 35 65;
1496s, 32 24 84 44 32 31 34 23 5 32 71 44 5 76;
1496l, 20 7 65 44 76 87 87 23 32 67 71 21 32 49;
1497s, 72 7 76 67 19 84 54 70 16 31;
1497l, 73 34 76 35 77 84 54 7 56 77;
1498s, 34 49 31 17 74 34 6 77 16 87;
1498l, 7 24 35 17 74 34 17 76 16 48;
1499s, 24 87 55 85 23 4 34 56 21 62 34 6 77 36;
1499l, 30 48 55 16 23 73 34 56 45 62 31 6 51 2;
